size,totalTime,partitionTime,stepTime,detectionTime,foundCommunities,fileName
4,0.0879399,0.0231657,0,0.0647742,51,.\email-Eu-core.txt
4,0.0893923,0.0220518,0,0.0673405,48,.\email-Eu-core.txt
4,0.087157,0.0222711,0,0.0648859,49,.\email-Eu-core.txt
4,0.0893117,0.0231581,0,0.0661536,54,.\email-Eu-core.txt
4,0.0894696,0.0244976,0,0.064972,53,.\email-Eu-core.txt
4,0.0901417,0.0230049,0,0.0671368,46,.\email-Eu-core.txt
4,0.0913664,0.0225447,0,0.0688217,53,.\email-Eu-core.txt
4,0.0913348,0.0229358,0,0.068399,48,.\email-Eu-core.txt
4,0.0928359,0.0229661,0,0.0698698,42,.\email-Eu-core.txt
4,0.0917528,0.0221782,0,0.0695746,45,.\email-Eu-core.txt
4,0.0928626,0.0242773,0,0.0685853,46,.\email-Eu-core.txt
4,0.106227,0.0230437,0,0.0831834,49,.\email-Eu-core.txt
4,0.0896195,0.0233396,0,0.0662799,47,.\email-Eu-core.txt
4,0.0891544,0.0228553,0,0.0662991,51,email-Eu-core.txt
4,0.100641,0.0217641,0,0.0788773,48,email-Eu-core.txt
4,0.0912029,0.0220778,0,0.0691251,47,email-Eu-core.txt
4,0.105766,0.0230295,0,0.0827366,46,email-Eu-core.txt
4,0.0965162,0.0220847,0,0.0744315,47,email-Eu-core.txt
