size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName
1,0.165162,0.0363722,0.000508308,0.0580018,0.0429373,0.0112352,0.000281096,0.000709295,0.00157118,40,email-Eu-core.txt
1,0.0697553,0.0103793,0.000419855,0.0572257,0.0427916,0.0110013,0.000236034,0.000613451,0.00144362,44,email-Eu-core.txt
1,0.0701318,0.0102334,0.000356436,0.0582128,0.042944,0.0113602,0.000276804,0.000718117,0.00164104,43,email-Eu-core.txt
2,0.0892997,0.0107164,0.0392644,0.0383298,0.0282712,0.00342917,0.00203633,0.00267172,0.000902176,48,email-Eu-core.txt
2,0.0476735,0.0105052,0.00125527,0.0350208,0.0256321,0.00347638,0.00161195,0.00214815,0.00104284,44,email-Eu-core.txt
2,0.0494368,0.0101869,0.0013907,0.036988,0.0275669,0.00329113,0.00183105,0.0025394,0.000781775,43,email-Eu-core.txt
2,0.0502765,0.0103719,0.00140047,0.0375412,0.0277648,0.00335717,0.00197458,0.0026896,0.000770807,46,email-Eu-core.txt
2,0.0503893,0.0109346,0.00131559,0.0371947,0.0276635,0.00337553,0.0018549,0.0024035,0.000953674,48,email-Eu-core.txt
4,0.0347061,0.0102925,0.00162721,0.0221334,0.0157366,0.00121021,0.00186825,0.00213075,0.000398159,48,email-Eu-core.txt
4,0.0415704,0.0151346,0.00169539,0.0211689,0.0150378,0.0012219,0.00174117,0.00185466,0.000522614,49,email-Eu-core.txt
4,0.0372078,0.0105419,0.00177789,0.0240242,0.016593,0.00121903,0.002388,0.00256443,0.000441313,45,email-Eu-core.txt
4,0.0350244,0.0102389,0.00162363,0.0223806,0.0163622,0.00116682,0.00179219,0.00192642,0.000418425,51,email-Eu-core.txt
4,0.0364931,0.0103056,0.00154328,0.023989,0.0165019,0.00121784,0.00238419,0.00264907,0.000423908,45,email-Eu-core.txt
8,0.0344577,0.0105126,0.00189877,0.0214779,0.0134306,0.000560284,0.00348425,0.00292397,0.000317812,48,email-Eu-core.txt
8,0.030412,0.0101953,0.00178266,0.0179095,0.0117486,0.000533581,0.00251222,0.00209761,0.000348091,47,email-Eu-core.txt
8,0.0314474,0.0105438,0.00198841,0.0183969,0.0122674,0.000508308,0.00251675,0.0021987,0.00024128,49,email-Eu-core.txt
8,0.0312715,0.0107417,0.00189734,0.0180631,0.0121694,0.000504017,0.00243497,0.00203753,0.000262737,51,email-Eu-core.txt
16,0.0352197,0.0108039,0.00277233,0.0211775,0.0125928,0.000281334,0.00428152,0.00323296,0.000128031,47,email-Eu-core.txt
16,0.0386915,0.0107067,0.00245309,0.024986,0.0141914,0.000347137,0.00536704,0.00417995,0.000183582,51,email-Eu-core.txt
16,0.0335958,0.0106847,0.00240564,0.0200069,0.0122786,0.000305891,0.00367713,0.00278926,0.000299931,58,email-Eu-core.txt
16,0.0328469,0.0107589,0.00252008,0.0190635,0.0117297,0.000291348,0.00357461,0.00269508,0.000149727,52,email-Eu-core.txt
32,0.0421803,0.0109181,0.00392079,0.0267713,0.014143,0.000197172,0.00713849,0.0045526,0.000129938,48,email-Eu-core.txt
32,0.0467808,0.011678,0.004215,0.0303674,0.0155389,0.00020504,0.00841689,0.00541449,9.05991e-05,52,email-Eu-core.txt
32,0.037328,0.0114844,0.00376081,0.0216057,0.0123429,0.000199795,0.00514317,0.00322986,0.000103712,53,email-Eu-core.txt
