size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName,totalNodes,totalEdges
1,0.0895402,0.00973773,0.000514507,0.0503609,0.0378814,0.00951505,0.000216961,0.000533581,0.00126386,42,email-Eu-core.txt,1005,25571
1,0.0640695,0.0105786,0.000450373,0.0517635,0.0385258,0.00989103,0.000209808,0.000601053,0.00148892,48,email-Eu-core.txt,1005,25571
1,0.0628593,0.0097506,0.000505924,0.0502579,0.0378981,0.00947762,0.000177145,0.000495911,0.00128746,45,email-Eu-core.txt,1005,25571
2,0.0480597,0.00957489,0.0013454,0.0352855,0.0259569,0.0029366,0.00214815,0.002635,0.00079298,45,email-Eu-core.txt,1005,25571
2,0.0497072,0.0103459,0.00134444,0.0371814,0.0271075,0.00301838,0.00241685,0.0030055,0.000749826,48,email-Eu-core.txt,1005,25571
2,0.0458183,0.0092752,0.00119519,0.0344946,0.0255678,0.00286341,0.0020144,0.00250578,0.0007658,45,email-Eu-core.txt,1005,25571
2,0.0479088,0.00931764,0.00141811,0.03634,0.0269406,0.00290847,0.00219345,0.00270224,0.000767946,46,email-Eu-core.txt,1005,25571
2,0.0470393,0.00938869,0.00125742,0.0354154,0.0259748,0.00284171,0.00229168,0.00285482,0.000633478,42,email-Eu-core.txt,1005,25571
4,0.0382338,0.0103838,0.00147605,0.0254807,0.0176458,0.00111818,0.00262499,0.00281715,0.00057435,52,email-Eu-core.txt,1005,25571
4,0.034987,0.00986147,0.00152659,0.0229719,0.0164497,0.000994205,0.00217009,0.00239277,0.000343561,42,email-Eu-core.txt,1005,25571
4,0.0379725,0.00973272,0.00147462,0.0258982,0.0177376,0.0010922,0.00290966,0.00304556,0.000412941,46,email-Eu-core.txt,1005,25571
4,0.0397549,0.0120416,0.00148129,0.0246727,0.0173113,0.0010879,0.00249386,0.00257301,0.00052309,52,email-Eu-core.txt,1005,25571
4,0.0375745,0.00963449,0.00141931,0.0250807,0.0175498,0.00108242,0.00253963,0.00281906,0.000424385,50,email-Eu-core.txt,1005,25571
8,0.0315201,0.00922728,0.00184655,0.0195024,0.0129626,0.000457048,0.00284028,0.00242186,0.000248194,48,email-Eu-core.txt,1005,25571
8,0.0364423,0.0100873,0.00183964,0.0229478,0.0145245,0.000513315,0.00375938,0.00324535,0.00022769,48,email-Eu-core.txt,1005,25571
8,0.0317731,0.00961494,0.00190544,0.019695,0.0130279,0.000435829,0.00290895,0.00256777,0.000181198,42,email-Eu-core.txt,1005,25571
8,0.0328159,0.0102029,0.00196981,0.0201108,0.0133741,0.000521421,0.00279093,0.00248623,0.000303507,53,email-Eu-core.txt,1005,25571
8,0.0337579,0.00980759,0.00186658,0.0215611,0.0138562,0.000491381,0.00334311,0.00290751,0.000309706,53,email-Eu-core.txt,1005,25571
16,0.0358763,0.0111756,0.00250864,0.0204813,0.0128179,0.000252724,0.00382161,0.00293255,0.00012517,47,email-Eu-core.txt,1005,25571
16,0.0368154,0.0103016,0.00255322,0.0225265,0.0137298,0.00026536,0.00452805,0.00330472,0.00012207,53,email-Eu-core.txt,1005,25571
16,0.0354869,0.00987434,0.00246453,0.0225124,0.0138726,0.000267744,0.00442624,0.00322151,0.000169754,51,email-Eu-core.txt,1005,25571
16,0.0342286,0.0100522,0.00251412,0.0210338,0.0132277,0.0002563,0.00394654,0.00285578,0.000153303,56,email-Eu-core.txt,1005,25571
16,0.0345619,0.0101392,0.00258923,0.0214059,0.0133026,0.000255346,0.00417614,0.00298691,0.000114918,57,email-Eu-core.txt,1005,25571
32,0.0499737,0.0106227,0.00386786,0.0348024,0.017592,0.000198126,0.00995564,0.00638008,9.72748e-05,51,email-Eu-core.txt,1005,25571
32,0.043715,0.0102708,0.00410771,0.0288966,0.0155098,0.000178337,0.00775051,0.00480652,9.84669e-05,53,email-Eu-core.txt,1005,25571
32,0.0471747,0.0103223,0.00397849,0.0321078,0.0166135,0.000191689,0.00875807,0.00586414,9.94205e-05,49,email-Eu-core.txt,1005,25571
32,0.0458338,0.0103781,0.00385165,0.0309613,0.0158217,0.000198126,0.0087204,0.0055778,9.27448e-05,50,email-Eu-core.txt,1005,25571
32,0.0437164,0.0101595,0.00388598,0.0291831,0.0155711,0.000182152,0.00778866,0.00496316,0.00012064,54,email-Eu-core.txt,1005,25571
64,0.0571442,0.0117197,0.00696468,0.0378125,0.0178957,0.000123501,0.0129082,0.00620937,9.29832e-05,48,email-Eu-core.txt,1005,25571
64,0.0631814,0.0114744,0.00677609,0.0438578,0.0198293,0.000115633,0.0155964,0.00764918,8.08239e-05,53,email-Eu-core.txt,1005,25571
64,0.0681241,0.0109558,0.00698805,0.0492904,0.0217075,0.000112295,0.0179124,0.00895524,6.46114e-05,54,email-Eu-core.txt,1005,25571
64,0.0693386,0.011276,0.00663996,0.0508325,0.0215266,0.00012517,0.0194671,0.0090518,6.8903e-05,52,email-Eu-core.txt,1005,25571
64,0.0805554,0.0119066,0.012558,0.0551548,0.0221381,0.000121117,0.0179975,0.0142093,6.62804e-05,49,email-Eu-core.txt,1005,25571
1,1.07356,0.0321739,0.00097537,1.03661,0.909364,0.120674,0.000319719,0.00130677,0.00248075,43,facebook_combined.txt,4039,88234
1,1.07345,0.0322948,0.000747204,1.03549,0.909203,0.120262,0.000287771,0.00118995,0.0022459,36,facebook_combined.txt,4039,88234
1,1.07745,0.0331914,0.00100374,1.03864,0.912384,0.120013,0.000310659,0.00123453,0.00229526,36,facebook_combined.txt,4039,88234
2,0.424632,0.0320668,0.00207138,0.388518,0.346416,0.031769,0.00299621,0.00415444,0.00125408,34,facebook_combined.txt,4039,88234
2,0.422295,0.0320992,0.00201702,0.386329,0.34408,0.0318346,0.00296259,0.00424409,0.00127506,35,facebook_combined.txt,4039,88234
2,0.424453,0.0323627,0.00191379,0.386978,0.344604,0.0318348,0.0030551,0.00423455,0.00129128,36,facebook_combined.txt,4039,88234
2,0.426548,0.0320168,0.00192952,0.390646,0.3469,0.0315275,0.00469756,0.00417876,0.00142384,41,facebook_combined.txt,4039,88234
