size,totalTime,partitionTime,stepTime,detectionTime,foundCommunities,fileName
1,0.288574,0.0233381,0,0.265236,46,email-Eu-core.txt
1,0.284574,0.0223567,0,0.262217,42,email-Eu-core.txt
1,0.286631,0.0240233,0,0.262607,46,email-Eu-core.txt
2,0.174752,0.0280163,0,0.146736,46,email-Eu-core.txt
2,0.178742,0.0266609,0,0.152081,42,email-Eu-core.txt
2,0.177835,0.0220876,0,0.155747,37,email-Eu-core.txt
2,0.173382,0.0209184,0,0.152464,43,email-Eu-core.txt
2,0.182188,0.0284762,0,0.153712,44,email-Eu-core.txt
2,0.172762,0.0239658,0,0.148797,42,email-Eu-core.txt
2,0.180488,0.0235839,0,0.156904,47,email-Eu-core.txt
2,0.172495,0.0238326,0,0.148663,45,email-Eu-core.txt
2,0.16674,0.0228264,0,0.143914,44,email-Eu-core.txt
2,0.17944,0.0211225,0,0.158318,46,email-Eu-core.txt
4,0.109572,0.0294676,0,0.0801041,46,email-Eu-core.txt
4,0.104015,0.0227504,0,0.0812643,45,email-Eu-core.txt
4,0.108547,0.0211015,0,0.0874455,45,email-Eu-core.txt
4,0.108425,0.0218904,0,0.0865347,46,email-Eu-core.txt
4,0.105222,0.0220978,0,0.0831242,49,email-Eu-core.txt
4,0.106682,0.0251577,0,0.0815244,51,email-Eu-core.txt
4,0.10157,0.0231991,0,0.0783708,46,email-Eu-core.txt
4,0.108533,0.0255167,0,0.0830166,49,email-Eu-core.txt
4,0.106004,0.0212369,0,0.0847673,50,email-Eu-core.txt
4,0.107098,0.0256338,0,0.0814641,46,email-Eu-core.txt
8,0.0832365,0.0284743,0,0.0547621,47,email-Eu-core.txt
8,0.078779,0.0268843,0,0.0518947,51,email-Eu-core.txt
8,0.077863,0.0233049,0,0.054558,46,email-Eu-core.txt
8,0.0777123,0.0246599,0,0.0530524,53,email-Eu-core.txt
8,0.0714643,0.0206442,0,0.0508201,51,email-Eu-core.txt
8,0.0737088,0.0222075,0,0.0515013,50,email-Eu-core.txt
8,0.072623,0.0218821,0,0.050741,52,email-Eu-core.txt
8,0.0759666,0.0226338,0,0.0533328,48,email-Eu-core.txt
8,0.0802631,0.0231783,0,0.0570848,50,email-Eu-core.txt
8,0.078016,0.0250044,0,0.0530117,46,email-Eu-core.txt
16,0.072207,0.0249059,0,0.0473011,52,email-Eu-core.txt
16,0.0698376,0.0242693,0,0.0455682,47,email-Eu-core.txt
16,0.0721555,0.0237849,0,0.0483706,55,email-Eu-core.txt
16,0.0796239,0.0303016,0,0.0493224,55,email-Eu-core.txt
16,0.0777526,0.0248535,0,0.0528991,55,email-Eu-core.txt
16,0.0722466,0.0245996,0,0.047647,53,email-Eu-core.txt
16,0.0729213,0.0244312,0,0.04849,46,email-Eu-core.txt
16,0.0708365,0.0237939,0,0.0470426,52,email-Eu-core.txt
16,0.0730562,0.0270245,0,0.0460317,50,email-Eu-core.txt
16,0.0706255,0.0227489,0,0.0478766,52,email-Eu-core.txt
32,0.0915816,0.0273643,0,0.0642173,52,email-Eu-core.txt
32,0.0802023,0.0249314,0,0.0552709,49,email-Eu-core.txt
32,0.0782528,0.0276496,0,0.0506032,57,email-Eu-core.txt
32,0.085552,0.0262513,0,0.0593007,45,email-Eu-core.txt
32,0.087302,0.0256171,0,0.0616848,44,email-Eu-core.txt
32,0.0889943,0.0334485,0,0.0555458,48,email-Eu-core.txt
32,0.0799544,0.0253966,0,0.0545578,48,email-Eu-core.txt
32,0.0796824,0.0237811,0,0.0559013,50,email-Eu-core.txt
32,0.0864387,0.0283098,0,0.0581288,47,email-Eu-core.txt
32,0.0959303,0.0394678,0,0.0564625,54,email-Eu-core.txt
64,1.60705,0.575653,0,1.0314,50,email-Eu-core.txt
64,3.23844,0.533849,0,2.70459,46,email-Eu-core.txt
64,0.12621,0.0484481,0,0.0777617,46,email-Eu-core.txt
64,2.30885,0.617554,0,1.69129,47,email-Eu-core.txt
64,0.958013,0.604564,0,0.353449,52,email-Eu-core.txt
64,2.85387,0.506624,0,2.34724,49,email-Eu-core.txt
64,1.88595,0.0424633,0,1.84349,49,email-Eu-core.txt
64,3.02457,0.156513,0,2.86806,54,email-Eu-core.txt
64,1.17991,0.439355,0,0.740552,50,email-Eu-core.txt
64,1.55123,0.622729,0,0.928501,48,email-Eu-core.txt
1,0.105372,0.00448775,0,0.100884,27,1138_bus.txt
1,0.105959,0.00463104,0,0.101328,28,1138_bus.txt
1,0.105585,0.00436616,0,0.101219,30,1138_bus.txt
2,0.057991,0.00779533,0,0.0501957,29,1138_bus.txt
2,0.0536041,0.00583029,0,0.0477738,31,1138_bus.txt
2,0.0562549,0.00742912,0,0.0488257,27,1138_bus.txt
2,0.0585566,0.0110953,0,0.0474613,29,1138_bus.txt
2,0.0534701,0.00545406,0,0.0480161,28,1138_bus.txt
2,0.055687,0.00770235,0,0.0479846,30,1138_bus.txt
2,0.0533738,0.00593495,0,0.0474389,29,1138_bus.txt
2,0.05408,0.00635242,0,0.0477276,32,1138_bus.txt
2,0.0559812,0.00682497,0,0.0491562,27,1138_bus.txt
2,0.0564661,0.00739431,0,0.0490718,31,1138_bus.txt
4,0.043998,0.00468564,0,0.0393124,27,1138_bus.txt
4,0.0432353,0.00577116,0,0.0374641,29,1138_bus.txt
4,0.0460224,0.00766444,0,0.038358,27,1138_bus.txt
4,0.0445821,0.0082643,0,0.0363178,25,1138_bus.txt
4,0.0423501,0.00591135,0,0.0364387,26,1138_bus.txt
4,0.0438273,0.00485229,0,0.038975,26,1138_bus.txt
4,0.0426562,0.00658631,0,0.0360699,26,1138_bus.txt
4,0.0445845,0.00670695,0,0.0378776,24,1138_bus.txt
4,0.0411139,0.00481987,0,0.036294,24,1138_bus.txt
4,0.044652,0.0063889,0,0.0382631,23,1138_bus.txt
8,0.0426404,0.00524426,0,0.0373962,28,1138_bus.txt
8,0.0450418,0.00666976,0,0.038372,27,1138_bus.txt
8,0.0437505,0.00651789,0,0.0372326,27,1138_bus.txt
8,0.0461669,0.0102262,0,0.0359406,31,1138_bus.txt
8,0.0434997,0.00536966,0,0.03813,31,1138_bus.txt
8,0.0414577,0.00494123,0,0.0365164,26,1138_bus.txt
8,0.0422916,0.00680089,0,0.0354908,29,1138_bus.txt
8,0.0437624,0.00520325,0,0.0385592,24,1138_bus.txt
8,0.0423002,0.00559974,0,0.0367005,29,1138_bus.txt
