size,totalTime,partitionTime,detectionTime,foundCommunities,fileName
1,0.289058,0.022326,0.266732,41,email-Eu-core.txt
1,0.275211,0.0206525,0.254559,41,email-Eu-core.txt
1,0.273842,0.0210676,0.252774,42,email-Eu-core.txt
1,0.284547,0.0232015,0.261345,43,email-Eu-core.txt
1,0.279232,0.0228689,0.256363,42,email-Eu-core.txt
2,0.165176,0.0220568,0.143119,48,email-Eu-core.txt
2,0.173341,0.0228519,0.150489,42,email-Eu-core.txt
2,0.175268,0.0251322,0.150136,45,email-Eu-core.txt
2,0.185769,0.0220237,0.163746,47,email-Eu-core.txt
2,0.173403,0.0220499,0.151353,42,email-Eu-core.txt
4,0.113159,0.0200064,0.0931525,49,email-Eu-core.txt
4,0.105873,0.0220037,0.083869,44,email-Eu-core.txt
4,0.0999303,0.0181255,0.0818048,45,email-Eu-core.txt
4,0.115313,0.0227144,0.0925987,46,email-Eu-core.txt
4,0.100335,0.0203724,0.0799625,46,email-Eu-core.txt
8,0.0864391,0.0332046,0.0532346,48,email-Eu-core.txt
8,0.0835404,0.0229552,0.0605853,49,email-Eu-core.txt
8,0.0768743,0.0204566,0.0564177,48,email-Eu-core.txt
8,0.0817399,0.0212929,0.060447,46,email-Eu-core.txt
8,0.0775049,0.0210326,0.0564723,49,email-Eu-core.txt
16,0.0668447,0.0204883,0.0463564,53,email-Eu-core.txt
16,0.071981,0.0190339,0.052947,46,email-Eu-core.txt
16,0.0778513,0.0239089,0.0539424,47,email-Eu-core.txt
16,0.0706279,0.0214467,0.0491812,54,email-Eu-core.txt
16,0.0752494,0.0241299,0.0511196,53,email-Eu-core.txt
32,0.0866182,0.0237272,0.062891,50,email-Eu-core.txt
32,0.0833564,0.0215025,0.0618539,47,email-Eu-core.txt
32,0.0846343,0.0236759,0.0609584,44,email-Eu-core.txt
32,0.0831118,0.0201187,0.062993,54,email-Eu-core.txt
32,0.080076,0.0191116,0.0609643,48,email-Eu-core.txt
64,3.90064,0.0204237,3.88022,51,email-Eu-core.txt
64,0.790496,0.0214233,0.769073,51,email-Eu-core.txt
64,1.52241,0.0480924,1.47432,51,email-Eu-core.txt
64,3.20684,0.0398462,3.167,50,email-Eu-core.txt
